"X","Dilution","Content",".copy","Sample","Time","OD"
89,2,"Elution_w_o",1,"Un_0089 1/1","300",0.0767467
89,2,"Elution_w_o",1,"Un_0089 1/1","310",0.0769969
89,2,"Elution_w_o",1,"Un_0089 1/1","320",0.0768339
89,2,"Elution_w_o",1,"Un_0089 1/1","330",0.0768299
89,2,"Elution_w_o",1,"Un_0089 1/1","340",0.0766307
89,2,"Elution_w_o",1,"Un_0089 1/1","350",0.0763305
89,2,"Elution_w_o",1,"Un_0089 1/1","360",0.076808
89,2,"Elution_w_o",1,"Un_0089 1/1","370",0.07661
89,2,"Elution_w_o",1,"Un_0089 1/1","380",0.076443
89,2,"Elution_w_o",1,"Un_0089 1/1","390",0.0760081
89,2,"Elution_w_o",1,"Un_0089 1/1","400",0.0762221
89,2,"Elution_w_o",1,"Un_0089 1/1","410",0.0761859
89,2,"Elution_w_o",1,"Un_0089 1/1","420",0.0764218
89,2,"Elution_w_o",1,"Un_0089 1/1","430",0.0759759
89,2,"Elution_w_o",1,"Un_0089 1/1","440",0.0763511
89,2,"Elution_w_o",1,"Un_0089 1/1","450",0.0759067
89,2,"Elution_w_o",1,"Un_0089 1/1","460",0.0762099
89,2,"Elution_w_o",1,"Un_0089 1/1","470",0.0760634
89,2,"Elution_w_o",1,"Un_0089 1/1","480",0.076084
89,2,"Elution_w_o",1,"Un_0089 1/1","490",0.0763218
89,2,"Elution_w_o",1,"Un_0089 1/1","500",0.0760209
89,2,"Elution_w_o",1,"Un_0089 1/1","510",0.0758338
89,2,"Elution_w_o",1,"Un_0089 1/1","520",0.0757742
89,2,"Elution_w_o",1,"Un_0089 1/1","530",0.0759787
89,2,"Elution_w_o",1,"Un_0089 1/1","540",0.076042
89,2,"Elution_w_o",1,"Un_0089 1/1","550",0.0758614
89,2,"Elution_w_o",1,"Un_0089 1/1","560",0.0760513
89,2,"Elution_w_o",1,"Un_0089 1/1","570",0.0762012
89,2,"Elution_w_o",1,"Un_0089 1/1","580",0.0762774
89,2,"Elution_w_o",1,"Un_0089 1/1","590",0.0761369
89,2,"Elution_w_o",1,"Un_0089 1/1","600",0.0755016
89,2,"Elution_w_o",1,"Un_0089 1/1","610",0.0754653
89,2,"Elution_w_o",1,"Un_0089 1/1","620",0.0757193
89,2,"Elution_w_o",1,"Un_0089 1/1","630",0.0757932
89,2,"Elution_w_o",1,"Un_0089 1/1","640",0.075805
89,2,"Elution_w_o",1,"Un_0089 1/1","650",0.0757418
89,2,"Elution_w_o",1,"Un_0089 1/1","660",0.0754945
89,2,"Elution_w_o",1,"Un_0089 1/1","670",0.0757977
89,2,"Elution_w_o",1,"Un_0089 1/1","680",0.0754383
89,2,"Elution_w_o",1,"Un_0089 1/1","690",0.0756542
89,2,"Elution_w_o",1,"Un_0089 1/1","700",0.0756728
89,2,"Elution_w_o",1,"Un_0089 1/1","710",0.0755469
89,2,"Elution_w_o",1,"Un_0089 1/1","720",0.075123
89,2,"Elution_w_o",1,"Un_0089 1/1","730",0.0753549
89,2,"Elution_w_o",1,"Un_0089 1/1","740",0.075295
89,2,"Elution_w_o",1,"Un_0089 1/1","750",0.075473
89,2,"Elution_w_o",1,"Un_0089 1/1","760",0.0758295
89,2,"Elution_w_o",1,"Un_0089 1/1","770",0.0754717
89,2,"Elution_w_o",1,"Un_0089 1/1","780",0.0755698
89,2,"Elution_w_o",1,"Un_0089 1/1","790",0.075531
89,2,"Elution_w_o",1,"Un_0089 1/1","800",0.0753113
89,2,"Elution_w_o",1,"Un_0089 1/1","810",0.0755448
89,2,"Elution_w_o",1,"Un_0089 1/1","820",0.0754651
89,2,"Elution_w_o",1,"Un_0089 1/1","830",0.0752048
89,2,"Elution_w_o",1,"Un_0089 1/1","840",0.0758203
89,2,"Elution_w_o",1,"Un_0089 1/1","850",0.0761052
89,2,"Elution_w_o",1,"Un_0089 1/1","860",0.0755993
89,2,"Elution_w_o",1,"Un_0089 1/1","870",0.0754714
89,2,"Elution_w_o",1,"Un_0089 1/1","880",0.0750786
89,2,"Elution_w_o",1,"Un_0089 1/1","890",0.0752386
89,2,"Elution_w_o",1,"Un_0089 1/1","900",0.075435
89,2,"Elution_w_o",1,"Un_0089 1/1","910",0.0754826
89,2,"Elution_w_o",1,"Un_0089 1/1","920",0.0754098
89,2,"Elution_w_o",1,"Un_0089 1/1","930",0.0753736
89,2,"Elution_w_o",1,"Un_0089 1/1","940",0.0753616
89,2,"Elution_w_o",1,"Un_0089 1/1","950",0.0753339
89,2,"Elution_w_o",1,"Un_0089 1/1","960",0.0752748
89,2,"Elution_w_o",1,"Un_0089 1/1","970",0.0754135
